Î¸indices,method_name,num_points,xtol_rel,conf_level,optimisation_calls,likelihood_calls
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,0.0,0.95,355,37152
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,0.0,0.95,338,30126
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,0.0,0.95,365,35056
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,0.0,0.979906,350,37606
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,0.0,0.979906,329,29978
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,0.0,0.979906,373,35304
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-20,0.95,355,20050
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-20,0.95,338,14682
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-20,0.95,365,18807
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-20,0.979906,350,20585
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-20,0.979906,329,14307
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-20,0.979906,373,19316
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-16,0.95,355,16875
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-16,0.95,338,12310
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-16,0.95,365,16151
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-16,0.979906,350,17586
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-16,0.979906,329,11846
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-16,0.979906,373,16598
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-12,0.95,355,13040
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-12,0.95,338,8771
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-12,0.95,365,12316
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-12,0.979906,350,13928
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-12,0.979906,329,8327
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-12,0.979906,373,12733
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-8,0.95,355,9382
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-8,0.95,338,5338
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-8,0.95,365,8671
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-8,0.979906,345,10197
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-8,0.979906,329,5253
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-8,0.979906,373,8983
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-6,0.95,355,8543
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-6,0.95,338,4353
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-6,0.95,365,7585
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-6,0.979906,345,9374
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-6,0.979906,329,4212
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,1.0e-6,0.979906,373,7833
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,0.0,0.95,467,48571
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,0.0,0.95,453,40341
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,0.0,0.95,479,45634
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,0.0,0.979906,473,51655
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,0.0,0.979906,455,41699
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,0.0,0.979906,486,45989
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-20,0.95,467,26489
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-20,0.95,453,19732
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-20,0.95,479,24273
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-20,0.979906,473,28252
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-20,0.979906,455,19884
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-20,0.979906,486,24904
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-16,0.95,467,22214
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-16,0.95,453,16536
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-16,0.95,479,20889
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-16,0.979906,473,24150
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-16,0.979906,455,16496
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-16,0.979906,486,21410
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-12,0.95,467,17277
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-12,0.95,453,11778
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-12,0.95,479,15810
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-12,0.979906,473,19237
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-12,0.979906,455,11605
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-12,0.979906,486,16392
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-8,0.95,467,12522
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-8,0.95,454,7156
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-8,0.95,479,11124
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-8,0.979906,469,14030
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-8,0.979906,455,7248
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-8,0.979906,486,11566
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-6,0.95,467,11394
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-6,0.95,453,5840
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-6,0.95,479,9623
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-6,0.979906,469,12901
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-6,0.979906,455,5866
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",40,1.0e-6,0.979906,486,10064
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.95,586,61218
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.95,567,50456
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.95,596,56865
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.979906,588,63506
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.979906,574,53091
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.979906,610,58385
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.95,586,33146
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.95,567,24632
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.95,596,30572
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.979906,588,34608
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.979906,574,25258
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.979906,610,31874
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.95,586,27826
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.95,567,20676
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.95,596,26249
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.979906,588,29588
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.979906,574,20961
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.979906,610,27471
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.95,586,21532
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.95,567,14687
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.95,596,20033
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.979906,588,23378
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.979906,574,14717
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.979906,610,20987
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.95,586,15550
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.95,567,8929
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.95,596,14238
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.979906,584,17306
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.979906,574,9150
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.979906,610,14924
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.95,586,14136
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.95,567,7281
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.95,596,12337
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.979906,584,15894
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.979906,574,7428
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.979906,610,13045
