parameter,find_zero_atol,opt_abstol,optimisation_calls,likelihood_calls
1,0.0,0.0,28,6067
2,0.0,0.0,26,6237
3,0.0,0.0,25,5348
1,0.0,1.0e-20,28,6067
2,0.0,1.0e-20,26,6237
3,0.0,1.0e-20,25,5348
1,0.0,1.0e-19,28,6067
2,0.0,1.0e-19,26,6237
3,0.0,1.0e-19,25,5348
1,0.0,1.0e-18,28,6067
2,0.0,1.0e-18,26,6237
3,0.0,1.0e-18,25,5348
1,0.0,1.0e-17,28,6067
2,0.0,1.0e-17,26,6237
3,0.0,1.0e-17,25,5348
1,0.0,1.0e-16,28,6067
2,0.0,1.0e-16,26,6237
3,0.0,1.0e-16,25,5348
1,0.0,1.0e-15,28,6067
2,0.0,1.0e-15,26,6237
3,0.0,1.0e-15,25,5348
1,0.0,1.0e-14,29,2899
2,0.0,1.0e-14,26,3146
3,0.0,1.0e-14,28,2986
1,0.0,1.0e-13,29,2050
2,0.0,1.0e-13,26,2064
3,0.0,1.0e-13,25,1769
1,0.0,1.0e-12,28,2090
2,0.0,1.0e-12,26,1993
3,0.0,1.0e-12,31,1748
1,0.0,1.0e-11,29,1588
2,0.0,1.0e-11,26,1364
3,0.0,1.0e-11,26,1412
1,0.0,1.0e-10,29,1481
2,0.0,1.0e-10,26,1336
3,0.0,1.0e-10,25,1329
1,0.0,1.0e-9,31,1427
2,0.0,1.0e-9,26,1282
3,0.0,1.0e-9,26,1367
1,0.0,1.0e-8,30,1876
2,0.0,1.0e-8,26,1237
3,0.0,1.0e-8,26,1256
1,0.0,1.0e-7,30,1078
2,0.0,1.0e-7,26,1169
3,0.0,1.0e-7,28,1211
1,0.0,1.0e-6,28,959
2,0.0,1.0e-6,26,1063
3,0.0,1.0e-6,25,1118
1,0.0,1.0e-5,30,1103
2,0.0,1.0e-5,26,1027
3,0.0,1.0e-5,26,1046
1,0.0,0.0001,30,951
2,0.0,0.0001,59,2465
3,0.0,0.0001,26,1034
1,0.0,0.001,44,1300
2,0.0,0.001,44,1102
3,0.0,0.001,39,1128
1,0.0,0.01,37,793
2,0.0,0.01,58,913
3,0.0,0.01,57,1375
1,1.0e-20,0.0,28,6067
2,1.0e-20,0.0,26,6237
3,1.0e-20,0.0,25,5348
1,1.0e-20,1.0e-20,28,6067
2,1.0e-20,1.0e-20,26,6237
3,1.0e-20,1.0e-20,25,5348
1,1.0e-20,1.0e-19,28,6067
2,1.0e-20,1.0e-19,26,6237
3,1.0e-20,1.0e-19,25,5348
1,1.0e-20,1.0e-18,28,6067
2,1.0e-20,1.0e-18,26,6237
3,1.0e-20,1.0e-18,25,5348
1,1.0e-20,1.0e-17,28,6067
2,1.0e-20,1.0e-17,26,6237
3,1.0e-20,1.0e-17,25,5348
1,1.0e-20,1.0e-16,28,6067
2,1.0e-20,1.0e-16,26,6237
3,1.0e-20,1.0e-16,25,5348
1,1.0e-20,1.0e-15,28,6067
2,1.0e-20,1.0e-15,26,6237
3,1.0e-20,1.0e-15,25,5348
1,1.0e-20,1.0e-14,29,2899
2,1.0e-20,1.0e-14,26,3146
3,1.0e-20,1.0e-14,28,2986
1,1.0e-20,1.0e-13,29,2050
2,1.0e-20,1.0e-13,26,2064
3,1.0e-20,1.0e-13,25,1769
1,1.0e-20,1.0e-12,28,2090
2,1.0e-20,1.0e-12,26,1993
3,1.0e-20,1.0e-12,31,1748
1,1.0e-20,1.0e-11,29,1588
2,1.0e-20,1.0e-11,26,1364
3,1.0e-20,1.0e-11,26,1412
1,1.0e-20,1.0e-10,29,1481
2,1.0e-20,1.0e-10,26,1336
3,1.0e-20,1.0e-10,25,1329
1,1.0e-20,1.0e-9,31,1427
2,1.0e-20,1.0e-9,26,1282
3,1.0e-20,1.0e-9,26,1367
1,1.0e-20,1.0e-8,30,1876
2,1.0e-20,1.0e-8,26,1237
3,1.0e-20,1.0e-8,26,1256
1,1.0e-20,1.0e-7,30,1078
2,1.0e-20,1.0e-7,26,1169
3,1.0e-20,1.0e-7,28,1211
1,1.0e-20,1.0e-6,28,959
2,1.0e-20,1.0e-6,26,1063
3,1.0e-20,1.0e-6,25,1118
1,1.0e-20,1.0e-5,30,1103
2,1.0e-20,1.0e-5,26,1027
3,1.0e-20,1.0e-5,26,1046
1,1.0e-20,0.0001,30,951
2,1.0e-20,0.0001,59,2465
3,1.0e-20,0.0001,26,1034
1,1.0e-20,0.001,44,1300
2,1.0e-20,0.001,44,1102
3,1.0e-20,0.001,39,1128
1,1.0e-20,0.01,37,793
2,1.0e-20,0.01,58,913
3,1.0e-20,0.01,57,1375
1,1.0e-19,0.0,28,6067
2,1.0e-19,0.0,26,6237
3,1.0e-19,0.0,25,5348
1,1.0e-19,1.0e-20,28,6067
2,1.0e-19,1.0e-20,26,6237
3,1.0e-19,1.0e-20,25,5348
1,1.0e-19,1.0e-19,28,6067
2,1.0e-19,1.0e-19,26,6237
3,1.0e-19,1.0e-19,25,5348
1,1.0e-19,1.0e-18,28,6067
2,1.0e-19,1.0e-18,26,6237
3,1.0e-19,1.0e-18,25,5348
1,1.0e-19,1.0e-17,28,6067
2,1.0e-19,1.0e-17,26,6237
3,1.0e-19,1.0e-17,25,5348
1,1.0e-19,1.0e-16,28,6067
2,1.0e-19,1.0e-16,26,6237
3,1.0e-19,1.0e-16,25,5348
1,1.0e-19,1.0e-15,28,6067
2,1.0e-19,1.0e-15,26,6237
3,1.0e-19,1.0e-15,25,5348
1,1.0e-19,1.0e-14,29,2899
2,1.0e-19,1.0e-14,26,3146
3,1.0e-19,1.0e-14,28,2986
1,1.0e-19,1.0e-13,29,2050
2,1.0e-19,1.0e-13,26,2064
3,1.0e-19,1.0e-13,25,1769
1,1.0e-19,1.0e-12,28,2090
2,1.0e-19,1.0e-12,26,1993
3,1.0e-19,1.0e-12,31,1748
1,1.0e-19,1.0e-11,29,1588
2,1.0e-19,1.0e-11,26,1364
3,1.0e-19,1.0e-11,26,1412
1,1.0e-19,1.0e-10,29,1481
2,1.0e-19,1.0e-10,26,1336
3,1.0e-19,1.0e-10,25,1329
1,1.0e-19,1.0e-9,31,1427
2,1.0e-19,1.0e-9,26,1282
3,1.0e-19,1.0e-9,26,1367
1,1.0e-19,1.0e-8,30,1876
2,1.0e-19,1.0e-8,26,1237
3,1.0e-19,1.0e-8,26,1256
1,1.0e-19,1.0e-7,30,1078
2,1.0e-19,1.0e-7,26,1169
3,1.0e-19,1.0e-7,28,1211
1,1.0e-19,1.0e-6,28,959
2,1.0e-19,1.0e-6,26,1063
3,1.0e-19,1.0e-6,25,1118
1,1.0e-19,1.0e-5,30,1103
2,1.0e-19,1.0e-5,26,1027
3,1.0e-19,1.0e-5,26,1046
1,1.0e-19,0.0001,30,951
2,1.0e-19,0.0001,59,2465
3,1.0e-19,0.0001,26,1034
1,1.0e-19,0.001,44,1300
2,1.0e-19,0.001,44,1102
3,1.0e-19,0.001,39,1128
1,1.0e-19,0.01,37,793
2,1.0e-19,0.01,58,913
3,1.0e-19,0.01,57,1375
1,1.0e-18,0.0,28,6067
2,1.0e-18,0.0,26,6237
3,1.0e-18,0.0,25,5348
1,1.0e-18,1.0e-20,28,6067
2,1.0e-18,1.0e-20,26,6237
3,1.0e-18,1.0e-20,25,5348
1,1.0e-18,1.0e-19,28,6067
2,1.0e-18,1.0e-19,26,6237
3,1.0e-18,1.0e-19,25,5348
1,1.0e-18,1.0e-18,28,6067
2,1.0e-18,1.0e-18,26,6237
3,1.0e-18,1.0e-18,25,5348
1,1.0e-18,1.0e-17,28,6067
2,1.0e-18,1.0e-17,26,6237
3,1.0e-18,1.0e-17,25,5348
1,1.0e-18,1.0e-16,28,6067
2,1.0e-18,1.0e-16,26,6237
3,1.0e-18,1.0e-16,25,5348
1,1.0e-18,1.0e-15,28,6067
2,1.0e-18,1.0e-15,26,6237
3,1.0e-18,1.0e-15,25,5348
1,1.0e-18,1.0e-14,29,2899
2,1.0e-18,1.0e-14,26,3146
3,1.0e-18,1.0e-14,28,2986
1,1.0e-18,1.0e-13,29,2050
2,1.0e-18,1.0e-13,26,2064
3,1.0e-18,1.0e-13,25,1769
1,1.0e-18,1.0e-12,28,2090
2,1.0e-18,1.0e-12,26,1993
3,1.0e-18,1.0e-12,31,1748
1,1.0e-18,1.0e-11,29,1588
2,1.0e-18,1.0e-11,26,1364
3,1.0e-18,1.0e-11,26,1412
1,1.0e-18,1.0e-10,29,1481
2,1.0e-18,1.0e-10,26,1336
3,1.0e-18,1.0e-10,25,1329
1,1.0e-18,1.0e-9,31,1427
2,1.0e-18,1.0e-9,26,1282
3,1.0e-18,1.0e-9,26,1367
1,1.0e-18,1.0e-8,30,1876
2,1.0e-18,1.0e-8,26,1237
3,1.0e-18,1.0e-8,26,1256
1,1.0e-18,1.0e-7,30,1078
2,1.0e-18,1.0e-7,26,1169
3,1.0e-18,1.0e-7,28,1211
1,1.0e-18,1.0e-6,28,959
2,1.0e-18,1.0e-6,26,1063
3,1.0e-18,1.0e-6,25,1118
1,1.0e-18,1.0e-5,30,1103
2,1.0e-18,1.0e-5,26,1027
3,1.0e-18,1.0e-5,26,1046
1,1.0e-18,0.0001,30,951
2,1.0e-18,0.0001,59,2465
3,1.0e-18,0.0001,26,1034
1,1.0e-18,0.001,44,1300
2,1.0e-18,0.001,44,1102
3,1.0e-18,0.001,39,1128
1,1.0e-18,0.01,37,793
2,1.0e-18,0.01,58,913
3,1.0e-18,0.01,57,1375
1,1.0e-17,0.0,28,6067
2,1.0e-17,0.0,26,6237
3,1.0e-17,0.0,25,5348
1,1.0e-17,1.0e-20,28,6067
2,1.0e-17,1.0e-20,26,6237
3,1.0e-17,1.0e-20,25,5348
1,1.0e-17,1.0e-19,28,6067
2,1.0e-17,1.0e-19,26,6237
3,1.0e-17,1.0e-19,25,5348
1,1.0e-17,1.0e-18,28,6067
2,1.0e-17,1.0e-18,26,6237
3,1.0e-17,1.0e-18,25,5348
1,1.0e-17,1.0e-17,28,6067
2,1.0e-17,1.0e-17,26,6237
3,1.0e-17,1.0e-17,25,5348
1,1.0e-17,1.0e-16,28,6067
2,1.0e-17,1.0e-16,26,6237
3,1.0e-17,1.0e-16,25,5348
1,1.0e-17,1.0e-15,28,6067
2,1.0e-17,1.0e-15,26,6237
3,1.0e-17,1.0e-15,25,5348
1,1.0e-17,1.0e-14,29,2899
2,1.0e-17,1.0e-14,26,3146
3,1.0e-17,1.0e-14,28,2986
1,1.0e-17,1.0e-13,29,2050
2,1.0e-17,1.0e-13,26,2064
3,1.0e-17,1.0e-13,25,1769
1,1.0e-17,1.0e-12,28,2090
2,1.0e-17,1.0e-12,26,1993
3,1.0e-17,1.0e-12,31,1748
1,1.0e-17,1.0e-11,29,1588
2,1.0e-17,1.0e-11,26,1364
3,1.0e-17,1.0e-11,26,1412
1,1.0e-17,1.0e-10,29,1481
2,1.0e-17,1.0e-10,26,1336
3,1.0e-17,1.0e-10,25,1329
1,1.0e-17,1.0e-9,31,1427
2,1.0e-17,1.0e-9,26,1282
3,1.0e-17,1.0e-9,26,1367
1,1.0e-17,1.0e-8,30,1876
2,1.0e-17,1.0e-8,26,1237
3,1.0e-17,1.0e-8,26,1256
1,1.0e-17,1.0e-7,30,1078
2,1.0e-17,1.0e-7,26,1169
3,1.0e-17,1.0e-7,28,1211
1,1.0e-17,1.0e-6,28,959
2,1.0e-17,1.0e-6,26,1063
3,1.0e-17,1.0e-6,25,1118
1,1.0e-17,1.0e-5,30,1103
2,1.0e-17,1.0e-5,26,1027
3,1.0e-17,1.0e-5,26,1046
1,1.0e-17,0.0001,30,951
2,1.0e-17,0.0001,59,2465
3,1.0e-17,0.0001,26,1034
1,1.0e-17,0.001,44,1300
2,1.0e-17,0.001,44,1102
3,1.0e-17,0.001,39,1128
1,1.0e-17,0.01,37,793
2,1.0e-17,0.01,58,913
3,1.0e-17,0.01,57,1375
1,1.0e-16,0.0,28,6067
2,1.0e-16,0.0,26,6237
3,1.0e-16,0.0,25,5348
1,1.0e-16,1.0e-20,28,6067
2,1.0e-16,1.0e-20,26,6237
3,1.0e-16,1.0e-20,25,5348
1,1.0e-16,1.0e-19,28,6067
2,1.0e-16,1.0e-19,26,6237
3,1.0e-16,1.0e-19,25,5348
1,1.0e-16,1.0e-18,28,6067
2,1.0e-16,1.0e-18,26,6237
3,1.0e-16,1.0e-18,25,5348
1,1.0e-16,1.0e-17,28,6067
2,1.0e-16,1.0e-17,26,6237
3,1.0e-16,1.0e-17,25,5348
1,1.0e-16,1.0e-16,28,6067
2,1.0e-16,1.0e-16,26,6237
3,1.0e-16,1.0e-16,25,5348
1,1.0e-16,1.0e-15,28,6067
2,1.0e-16,1.0e-15,26,6237
3,1.0e-16,1.0e-15,25,5348
1,1.0e-16,1.0e-14,29,2899
2,1.0e-16,1.0e-14,26,3146
3,1.0e-16,1.0e-14,28,2986
1,1.0e-16,1.0e-13,29,2050
2,1.0e-16,1.0e-13,26,2064
3,1.0e-16,1.0e-13,25,1769
1,1.0e-16,1.0e-12,28,2090
2,1.0e-16,1.0e-12,26,1993
3,1.0e-16,1.0e-12,31,1748
1,1.0e-16,1.0e-11,29,1588
2,1.0e-16,1.0e-11,26,1364
3,1.0e-16,1.0e-11,26,1412
1,1.0e-16,1.0e-10,29,1481
2,1.0e-16,1.0e-10,26,1336
3,1.0e-16,1.0e-10,25,1329
1,1.0e-16,1.0e-9,31,1427
2,1.0e-16,1.0e-9,26,1282
3,1.0e-16,1.0e-9,26,1367
1,1.0e-16,1.0e-8,30,1876
2,1.0e-16,1.0e-8,26,1237
3,1.0e-16,1.0e-8,26,1256
1,1.0e-16,1.0e-7,30,1078
2,1.0e-16,1.0e-7,26,1169
3,1.0e-16,1.0e-7,28,1211
1,1.0e-16,1.0e-6,28,959
2,1.0e-16,1.0e-6,26,1063
3,1.0e-16,1.0e-6,25,1118
1,1.0e-16,1.0e-5,30,1103
2,1.0e-16,1.0e-5,26,1027
3,1.0e-16,1.0e-5,26,1046
1,1.0e-16,0.0001,30,951
2,1.0e-16,0.0001,59,2465
3,1.0e-16,0.0001,26,1034
1,1.0e-16,0.001,44,1300
2,1.0e-16,0.001,44,1102
3,1.0e-16,0.001,39,1128
1,1.0e-16,0.01,37,793
2,1.0e-16,0.01,58,913
3,1.0e-16,0.01,57,1375
1,1.0e-15,0.0,28,6067
2,1.0e-15,0.0,26,6237
3,1.0e-15,0.0,25,5348
1,1.0e-15,1.0e-20,28,6067
2,1.0e-15,1.0e-20,26,6237
3,1.0e-15,1.0e-20,25,5348
1,1.0e-15,1.0e-19,28,6067
2,1.0e-15,1.0e-19,26,6237
3,1.0e-15,1.0e-19,25,5348
1,1.0e-15,1.0e-18,28,6067
2,1.0e-15,1.0e-18,26,6237
3,1.0e-15,1.0e-18,25,5348
1,1.0e-15,1.0e-17,28,6067
2,1.0e-15,1.0e-17,26,6237
3,1.0e-15,1.0e-17,25,5348
1,1.0e-15,1.0e-16,28,6067
2,1.0e-15,1.0e-16,26,6237
3,1.0e-15,1.0e-16,25,5348
1,1.0e-15,1.0e-15,28,6067
2,1.0e-15,1.0e-15,26,6237
3,1.0e-15,1.0e-15,25,5348
1,1.0e-15,1.0e-14,29,2899
2,1.0e-15,1.0e-14,26,3146
3,1.0e-15,1.0e-14,28,2986
1,1.0e-15,1.0e-13,29,2050
2,1.0e-15,1.0e-13,26,2064
3,1.0e-15,1.0e-13,25,1769
1,1.0e-15,1.0e-12,28,2090
2,1.0e-15,1.0e-12,26,1993
3,1.0e-15,1.0e-12,31,1748
1,1.0e-15,1.0e-11,29,1588
2,1.0e-15,1.0e-11,26,1364
3,1.0e-15,1.0e-11,26,1412
1,1.0e-15,1.0e-10,29,1481
2,1.0e-15,1.0e-10,26,1336
3,1.0e-15,1.0e-10,25,1329
1,1.0e-15,1.0e-9,31,1427
2,1.0e-15,1.0e-9,26,1282
3,1.0e-15,1.0e-9,26,1367
1,1.0e-15,1.0e-8,30,1876
2,1.0e-15,1.0e-8,26,1237
3,1.0e-15,1.0e-8,26,1256
1,1.0e-15,1.0e-7,30,1078
2,1.0e-15,1.0e-7,26,1169
3,1.0e-15,1.0e-7,28,1211
1,1.0e-15,1.0e-6,28,959
2,1.0e-15,1.0e-6,26,1063
3,1.0e-15,1.0e-6,25,1118
1,1.0e-15,1.0e-5,30,1103
2,1.0e-15,1.0e-5,26,1027
3,1.0e-15,1.0e-5,26,1046
1,1.0e-15,0.0001,30,951
2,1.0e-15,0.0001,59,2465
3,1.0e-15,0.0001,26,1034
1,1.0e-15,0.001,44,1300
2,1.0e-15,0.001,44,1102
3,1.0e-15,0.001,39,1128
1,1.0e-15,0.01,37,793
2,1.0e-15,0.01,58,913
3,1.0e-15,0.01,57,1375
1,1.0e-14,0.0,28,6067
2,1.0e-14,0.0,26,6237
3,1.0e-14,0.0,25,5348
1,1.0e-14,1.0e-20,28,6067
2,1.0e-14,1.0e-20,26,6237
3,1.0e-14,1.0e-20,25,5348
1,1.0e-14,1.0e-19,28,6067
2,1.0e-14,1.0e-19,26,6237
3,1.0e-14,1.0e-19,25,5348
1,1.0e-14,1.0e-18,28,6067
2,1.0e-14,1.0e-18,26,6237
3,1.0e-14,1.0e-18,25,5348
1,1.0e-14,1.0e-17,28,6067
2,1.0e-14,1.0e-17,26,6237
3,1.0e-14,1.0e-17,25,5348
1,1.0e-14,1.0e-16,28,6067
2,1.0e-14,1.0e-16,26,6237
3,1.0e-14,1.0e-16,25,5348
1,1.0e-14,1.0e-15,28,6067
2,1.0e-14,1.0e-15,26,6237
3,1.0e-14,1.0e-15,25,5348
1,1.0e-14,1.0e-14,28,2827
2,1.0e-14,1.0e-14,26,3146
3,1.0e-14,1.0e-14,25,2356
1,1.0e-14,1.0e-13,28,1978
2,1.0e-14,1.0e-13,26,2064
3,1.0e-14,1.0e-13,25,1769
1,1.0e-14,1.0e-12,28,2090
2,1.0e-14,1.0e-12,26,1993
3,1.0e-14,1.0e-12,25,1555
1,1.0e-14,1.0e-11,27,1496
2,1.0e-14,1.0e-11,26,1364
3,1.0e-14,1.0e-11,25,1382
1,1.0e-14,1.0e-10,28,1438
2,1.0e-14,1.0e-10,26,1336
3,1.0e-14,1.0e-10,25,1329
1,1.0e-14,1.0e-9,27,1273
2,1.0e-14,1.0e-9,26,1282
3,1.0e-14,1.0e-9,26,1367
1,1.0e-14,1.0e-8,28,1804
2,1.0e-14,1.0e-8,26,1237
3,1.0e-14,1.0e-8,25,1228
1,1.0e-14,1.0e-7,28,1008
2,1.0e-14,1.0e-7,26,1169
3,1.0e-14,1.0e-7,25,1148
1,1.0e-14,1.0e-6,27,923
2,1.0e-14,1.0e-6,26,1063
3,1.0e-14,1.0e-6,25,1118
1,1.0e-14,1.0e-5,27,1008
2,1.0e-14,1.0e-5,26,1027
3,1.0e-14,1.0e-5,24,1014
1,1.0e-14,0.0001,28,893
2,1.0e-14,0.0001,59,2465
3,1.0e-14,0.0001,26,1034
1,1.0e-14,0.001,44,1300
2,1.0e-14,0.001,44,1102
3,1.0e-14,0.001,36,1089
1,1.0e-14,0.01,36,778
2,1.0e-14,0.01,58,913
3,1.0e-14,0.01,57,1375
1,1.0e-13,0.0,27,5816
2,1.0e-13,0.0,26,6237
3,1.0e-13,0.0,25,5348
1,1.0e-13,1.0e-20,27,5816
2,1.0e-13,1.0e-20,26,6237
3,1.0e-13,1.0e-20,25,5348
1,1.0e-13,1.0e-19,27,5816
2,1.0e-13,1.0e-19,26,6237
3,1.0e-13,1.0e-19,25,5348
1,1.0e-13,1.0e-18,27,5816
2,1.0e-13,1.0e-18,26,6237
3,1.0e-13,1.0e-18,25,5348
1,1.0e-13,1.0e-17,27,5816
2,1.0e-13,1.0e-17,26,6237
3,1.0e-13,1.0e-17,25,5348
1,1.0e-13,1.0e-16,27,5816
2,1.0e-13,1.0e-16,26,6237
3,1.0e-13,1.0e-16,25,5348
1,1.0e-13,1.0e-15,27,5816
2,1.0e-13,1.0e-15,26,6237
3,1.0e-13,1.0e-15,25,5348
1,1.0e-13,1.0e-14,27,2427
2,1.0e-13,1.0e-14,26,3146
3,1.0e-13,1.0e-14,25,2356
1,1.0e-13,1.0e-13,27,1933
2,1.0e-13,1.0e-13,26,2064
3,1.0e-13,1.0e-13,25,1769
1,1.0e-13,1.0e-12,27,2043
2,1.0e-13,1.0e-12,26,1993
3,1.0e-13,1.0e-12,25,1555
1,1.0e-13,1.0e-11,27,1496
2,1.0e-13,1.0e-11,26,1364
3,1.0e-13,1.0e-11,25,1382
1,1.0e-13,1.0e-10,27,1401
2,1.0e-13,1.0e-10,26,1336
3,1.0e-13,1.0e-10,25,1329
1,1.0e-13,1.0e-9,27,1273
2,1.0e-13,1.0e-9,26,1282
3,1.0e-13,1.0e-9,25,1324
1,1.0e-13,1.0e-8,28,1804
2,1.0e-13,1.0e-8,26,1237
3,1.0e-13,1.0e-8,25,1228
1,1.0e-13,1.0e-7,27,974
2,1.0e-13,1.0e-7,26,1169
3,1.0e-13,1.0e-7,25,1148
1,1.0e-13,1.0e-6,27,923
2,1.0e-13,1.0e-6,26,1063
3,1.0e-13,1.0e-6,25,1118
1,1.0e-13,1.0e-5,27,1008
2,1.0e-13,1.0e-5,26,1027
3,1.0e-13,1.0e-5,24,1014
1,1.0e-13,0.0001,28,893
2,1.0e-13,0.0001,59,2465
3,1.0e-13,0.0001,26,1034
1,1.0e-13,0.001,44,1300
2,1.0e-13,0.001,44,1102
3,1.0e-13,0.001,29,998
1,1.0e-13,0.01,35,763
2,1.0e-13,0.01,58,913
3,1.0e-13,0.01,27,933
1,1.0e-12,0.0,27,5816
2,1.0e-12,0.0,25,5989
3,1.0e-12,0.0,24,5145
1,1.0e-12,1.0e-20,27,5816
2,1.0e-12,1.0e-20,25,5989
3,1.0e-12,1.0e-20,24,5145
1,1.0e-12,1.0e-19,27,5816
2,1.0e-12,1.0e-19,25,5989
3,1.0e-12,1.0e-19,24,5145
1,1.0e-12,1.0e-18,27,5816
2,1.0e-12,1.0e-18,25,5989
3,1.0e-12,1.0e-18,24,5145
1,1.0e-12,1.0e-17,27,5816
2,1.0e-12,1.0e-17,25,5989
3,1.0e-12,1.0e-17,24,5145
1,1.0e-12,1.0e-16,27,5816
2,1.0e-12,1.0e-16,25,5989
3,1.0e-12,1.0e-16,24,5145
1,1.0e-12,1.0e-15,27,5816
2,1.0e-12,1.0e-15,25,5989
3,1.0e-12,1.0e-15,24,5145
1,1.0e-12,1.0e-14,27,2427
2,1.0e-12,1.0e-14,25,3079
3,1.0e-12,1.0e-14,24,2507
1,1.0e-12,1.0e-13,27,1933
2,1.0e-12,1.0e-13,25,1993
3,1.0e-12,1.0e-13,24,1920
1,1.0e-12,1.0e-12,27,2043
2,1.0e-12,1.0e-12,25,1928
3,1.0e-12,1.0e-12,24,1524
1,1.0e-12,1.0e-11,27,1496
2,1.0e-12,1.0e-11,25,1300
3,1.0e-12,1.0e-11,24,1351
1,1.0e-12,1.0e-10,27,1401
2,1.0e-12,1.0e-10,25,1272
3,1.0e-12,1.0e-10,24,1299
1,1.0e-12,1.0e-9,27,1273
2,1.0e-12,1.0e-9,25,1225
3,1.0e-12,1.0e-9,24,1296
1,1.0e-12,1.0e-8,28,1804
2,1.0e-12,1.0e-8,25,1180
3,1.0e-12,1.0e-8,24,1199
1,1.0e-12,1.0e-7,27,974
2,1.0e-12,1.0e-7,25,1113
3,1.0e-12,1.0e-7,24,1126
1,1.0e-12,1.0e-6,27,923
2,1.0e-12,1.0e-6,25,1010
