parameter,find_zero_atol,opt_abstol,optimisation_calls,likelihood_calls
3,1.0e-12,1.0e-6,24,1098
1,1.0e-12,1.0e-5,27,1008
2,1.0e-12,1.0e-5,26,1027
3,1.0e-12,1.0e-5,24,1014
1,1.0e-12,0.0001,28,893
2,1.0e-12,0.0001,28,1008
3,1.0e-12,0.0001,26,1034
1,1.0e-12,0.001,27,926
2,1.0e-12,0.001,44,1102
3,1.0e-12,0.001,29,998
1,1.0e-12,0.01,28,588
2,1.0e-12,0.01,58,913
3,1.0e-12,0.01,27,933
1,1.0e-11,0.0,27,5816
2,1.0e-11,0.0,25,5989
3,1.0e-11,0.0,24,5145
1,1.0e-11,1.0e-20,27,5816
2,1.0e-11,1.0e-20,25,5989
3,1.0e-11,1.0e-20,24,5145
1,1.0e-11,1.0e-19,27,5816
2,1.0e-11,1.0e-19,25,5989
3,1.0e-11,1.0e-19,24,5145
1,1.0e-11,1.0e-18,27,5816
2,1.0e-11,1.0e-18,25,5989
3,1.0e-11,1.0e-18,24,5145
1,1.0e-11,1.0e-17,27,5816
2,1.0e-11,1.0e-17,25,5989
3,1.0e-11,1.0e-17,24,5145
1,1.0e-11,1.0e-16,27,5816
2,1.0e-11,1.0e-16,25,5989
3,1.0e-11,1.0e-16,24,5145
1,1.0e-11,1.0e-15,27,5816
2,1.0e-11,1.0e-15,25,5989
3,1.0e-11,1.0e-15,24,5145
1,1.0e-11,1.0e-14,27,2427
2,1.0e-11,1.0e-14,25,3079
3,1.0e-11,1.0e-14,24,2507
1,1.0e-11,1.0e-13,27,1933
2,1.0e-11,1.0e-13,25,1993
3,1.0e-11,1.0e-13,24,1920
1,1.0e-11,1.0e-12,27,2043
2,1.0e-11,1.0e-12,25,1928
3,1.0e-11,1.0e-12,24,1524
1,1.0e-11,1.0e-11,27,1496
2,1.0e-11,1.0e-11,25,1300
3,1.0e-11,1.0e-11,24,1351
1,1.0e-11,1.0e-10,27,1401
2,1.0e-11,1.0e-10,25,1272
3,1.0e-11,1.0e-10,24,1299
1,1.0e-11,1.0e-9,27,1273
2,1.0e-11,1.0e-9,25,1225
3,1.0e-11,1.0e-9,24,1296
1,1.0e-11,1.0e-8,26,1713
2,1.0e-11,1.0e-8,25,1180
3,1.0e-11,1.0e-8,24,1199
1,1.0e-11,1.0e-7,27,974
2,1.0e-11,1.0e-7,25,1113
3,1.0e-11,1.0e-7,24,1126
1,1.0e-11,1.0e-6,27,923
2,1.0e-11,1.0e-6,25,1010
3,1.0e-11,1.0e-6,24,1098
1,1.0e-11,1.0e-5,27,1008
2,1.0e-11,1.0e-5,26,1027
3,1.0e-11,1.0e-5,23,998
1,1.0e-11,0.0001,28,893
2,1.0e-11,0.0001,26,913
3,1.0e-11,0.0001,24,994
1,1.0e-11,0.001,27,926
2,1.0e-11,0.001,44,1102
3,1.0e-11,0.001,29,998
1,1.0e-11,0.01,28,588
2,1.0e-11,0.01,58,913
3,1.0e-11,0.01,27,933
1,1.0e-10,0.0,26,5586
2,1.0e-10,0.0,25,5989
3,1.0e-10,0.0,23,4926
1,1.0e-10,1.0e-20,26,5586
2,1.0e-10,1.0e-20,25,5989
3,1.0e-10,1.0e-20,23,4926
1,1.0e-10,1.0e-19,26,5586
2,1.0e-10,1.0e-19,25,5989
3,1.0e-10,1.0e-19,23,4926
1,1.0e-10,1.0e-18,26,5586
2,1.0e-10,1.0e-18,25,5989
3,1.0e-10,1.0e-18,23,4926
1,1.0e-10,1.0e-17,26,5586
2,1.0e-10,1.0e-17,25,5989
3,1.0e-10,1.0e-17,23,4926
1,1.0e-10,1.0e-16,26,5586
2,1.0e-10,1.0e-16,25,5989
3,1.0e-10,1.0e-16,23,4926
1,1.0e-10,1.0e-15,26,5586
2,1.0e-10,1.0e-15,25,5989
3,1.0e-10,1.0e-15,23,4926
1,1.0e-10,1.0e-14,26,2382
2,1.0e-10,1.0e-14,25,3079
3,1.0e-10,1.0e-14,23,2086
1,1.0e-10,1.0e-13,26,1901
2,1.0e-10,1.0e-13,25,1993
3,1.0e-10,1.0e-13,23,1863
1,1.0e-10,1.0e-12,26,1996
2,1.0e-10,1.0e-12,25,1928
3,1.0e-10,1.0e-12,23,1472
1,1.0e-10,1.0e-11,26,1449
2,1.0e-10,1.0e-11,25,1300
3,1.0e-10,1.0e-11,23,1300
1,1.0e-10,1.0e-10,26,1358
2,1.0e-10,1.0e-10,25,1272
3,1.0e-10,1.0e-10,23,1251
1,1.0e-10,1.0e-9,26,1232
2,1.0e-10,1.0e-9,25,1225
3,1.0e-10,1.0e-9,23,1252
1,1.0e-10,1.0e-8,26,1713
2,1.0e-10,1.0e-8,25,1180
3,1.0e-10,1.0e-8,23,1159
1,1.0e-10,1.0e-7,27,974
2,1.0e-10,1.0e-7,25,1113
3,1.0e-10,1.0e-7,23,1086
1,1.0e-10,1.0e-6,27,923
2,1.0e-10,1.0e-6,25,1010
3,1.0e-10,1.0e-6,23,1060
1,1.0e-10,1.0e-5,27,1008
2,1.0e-10,1.0e-5,26,1027
3,1.0e-10,1.0e-5,23,998
1,1.0e-10,0.0001,28,893
2,1.0e-10,0.0001,26,913
3,1.0e-10,0.0001,23,963
1,1.0e-10,0.001,27,926
2,1.0e-10,0.001,44,1102
3,1.0e-10,0.001,29,998
1,1.0e-10,0.01,27,573
2,1.0e-10,0.01,58,913
3,1.0e-10,0.01,27,933
1,1.0e-9,0.0,25,5355
2,1.0e-9,0.0,25,5989
3,1.0e-9,0.0,23,4926
1,1.0e-9,1.0e-20,25,5355
2,1.0e-9,1.0e-20,25,5989
3,1.0e-9,1.0e-20,23,4926
1,1.0e-9,1.0e-19,25,5355
2,1.0e-9,1.0e-19,25,5989
3,1.0e-9,1.0e-19,23,4926
1,1.0e-9,1.0e-18,25,5355
2,1.0e-9,1.0e-18,25,5989
3,1.0e-9,1.0e-18,23,4926
1,1.0e-9,1.0e-17,25,5355
2,1.0e-9,1.0e-17,25,5989
3,1.0e-9,1.0e-17,23,4926
1,1.0e-9,1.0e-16,25,5355
2,1.0e-9,1.0e-16,25,5989
3,1.0e-9,1.0e-16,23,4926
1,1.0e-9,1.0e-15,25,5355
2,1.0e-9,1.0e-15,25,5989
3,1.0e-9,1.0e-15,23,4926
1,1.0e-9,1.0e-14,25,2328
2,1.0e-9,1.0e-14,25,3079
3,1.0e-9,1.0e-14,23,2086
1,1.0e-9,1.0e-13,25,1856
2,1.0e-9,1.0e-13,25,1993
3,1.0e-9,1.0e-13,23,1863
1,1.0e-9,1.0e-12,25,1951
2,1.0e-9,1.0e-12,25,1928
3,1.0e-9,1.0e-12,23,1472
1,1.0e-9,1.0e-11,25,1404
2,1.0e-9,1.0e-11,25,1300
3,1.0e-9,1.0e-11,23,1300
1,1.0e-9,1.0e-10,25,1321
2,1.0e-9,1.0e-10,25,1272
3,1.0e-9,1.0e-10,23,1251
1,1.0e-9,1.0e-9,25,1196
2,1.0e-9,1.0e-9,25,1225
3,1.0e-9,1.0e-9,23,1252
1,1.0e-9,1.0e-8,26,1713
2,1.0e-9,1.0e-8,25,1180
3,1.0e-9,1.0e-8,23,1159
1,1.0e-9,1.0e-7,26,938
2,1.0e-9,1.0e-7,25,1113
3,1.0e-9,1.0e-7,23,1086
1,1.0e-9,1.0e-6,25,856
2,1.0e-9,1.0e-6,25,1010
3,1.0e-9,1.0e-6,23,1060
1,1.0e-9,1.0e-5,26,977
2,1.0e-9,1.0e-5,26,1027
3,1.0e-9,1.0e-5,22,965
1,1.0e-9,0.0001,27,865
2,1.0e-9,0.0001,26,913
3,1.0e-9,0.0001,23,963
1,1.0e-9,0.001,26,895
2,1.0e-9,0.001,44,1102
3,1.0e-9,0.001,27,955
1,1.0e-9,0.01,26,548
2,1.0e-9,0.01,58,913
3,1.0e-9,0.01,27,933
1,1.0e-8,0.0,25,5355
2,1.0e-8,0.0,24,5761
3,1.0e-8,0.0,22,4706
1,1.0e-8,1.0e-20,25,5355
2,1.0e-8,1.0e-20,24,5761
3,1.0e-8,1.0e-20,22,4706
1,1.0e-8,1.0e-19,25,5355
2,1.0e-8,1.0e-19,24,5761
3,1.0e-8,1.0e-19,22,4706
1,1.0e-8,1.0e-18,25,5355
2,1.0e-8,1.0e-18,24,5761
3,1.0e-8,1.0e-18,22,4706
1,1.0e-8,1.0e-17,25,5355
2,1.0e-8,1.0e-17,24,5761
3,1.0e-8,1.0e-17,22,4706
1,1.0e-8,1.0e-16,25,5355
2,1.0e-8,1.0e-16,24,5761
3,1.0e-8,1.0e-16,22,4706
1,1.0e-8,1.0e-15,25,5355
2,1.0e-8,1.0e-15,24,5761
3,1.0e-8,1.0e-15,22,4706
1,1.0e-8,1.0e-14,25,2328
2,1.0e-8,1.0e-14,24,2852
3,1.0e-8,1.0e-14,22,1700
1,1.0e-8,1.0e-13,25,1856
2,1.0e-8,1.0e-13,24,1952
3,1.0e-8,1.0e-13,22,1472
1,1.0e-8,1.0e-12,25,1951
2,1.0e-8,1.0e-12,24,1889
3,1.0e-8,1.0e-12,22,1444
1,1.0e-8,1.0e-11,25,1404
2,1.0e-8,1.0e-11,24,1268
3,1.0e-8,1.0e-11,22,1270
1,1.0e-8,1.0e-10,25,1321
2,1.0e-8,1.0e-10,24,1240
3,1.0e-8,1.0e-10,22,1222
1,1.0e-8,1.0e-9,25,1196
2,1.0e-8,1.0e-9,24,1196
3,1.0e-8,1.0e-9,22,1264
1,1.0e-8,1.0e-8,25,1677
2,1.0e-8,1.0e-8,24,1151
3,1.0e-8,1.0e-8,22,1119
1,1.0e-8,1.0e-7,25,904
2,1.0e-8,1.0e-7,24,1088
3,1.0e-8,1.0e-7,22,1064
1,1.0e-8,1.0e-6,25,856
2,1.0e-8,1.0e-6,24,988
3,1.0e-8,1.0e-6,22,1037
1,1.0e-8,1.0e-5,25,944
2,1.0e-8,1.0e-5,24,957
3,1.0e-8,1.0e-5,22,965
1,1.0e-8,0.0001,26,836
2,1.0e-8,0.0001,25,892
3,1.0e-8,0.0001,23,963
1,1.0e-8,0.001,26,895
2,1.0e-8,0.001,44,1102
3,1.0e-8,0.001,27,955
1,1.0e-8,0.01,26,548
2,1.0e-8,0.01,58,913
3,1.0e-8,0.01,27,933
1,1.0e-7,0.0,25,5355
2,1.0e-7,0.0,24,5761
3,1.0e-7,0.0,22,4706
1,1.0e-7,1.0e-20,25,5355
2,1.0e-7,1.0e-20,24,5761
3,1.0e-7,1.0e-20,22,4706
1,1.0e-7,1.0e-19,25,5355
2,1.0e-7,1.0e-19,24,5761
3,1.0e-7,1.0e-19,22,4706
1,1.0e-7,1.0e-18,25,5355
2,1.0e-7,1.0e-18,24,5761
3,1.0e-7,1.0e-18,22,4706
1,1.0e-7,1.0e-17,25,5355
2,1.0e-7,1.0e-17,24,5761
3,1.0e-7,1.0e-17,22,4706
1,1.0e-7,1.0e-16,25,5355
2,1.0e-7,1.0e-16,24,5761
3,1.0e-7,1.0e-16,22,4706
1,1.0e-7,1.0e-15,25,5355
2,1.0e-7,1.0e-15,24,5761
3,1.0e-7,1.0e-15,22,4706
1,1.0e-7,1.0e-14,25,2328
2,1.0e-7,1.0e-14,24,2852
3,1.0e-7,1.0e-14,22,1700
1,1.0e-7,1.0e-13,25,1856
2,1.0e-7,1.0e-13,24,1952
3,1.0e-7,1.0e-13,22,1472
1,1.0e-7,1.0e-12,25,1951
2,1.0e-7,1.0e-12,24,1889
3,1.0e-7,1.0e-12,22,1444
1,1.0e-7,1.0e-11,25,1404
2,1.0e-7,1.0e-11,24,1268
3,1.0e-7,1.0e-11,22,1270
1,1.0e-7,1.0e-10,25,1321
2,1.0e-7,1.0e-10,24,1240
3,1.0e-7,1.0e-10,22,1222
1,1.0e-7,1.0e-9,25,1196
2,1.0e-7,1.0e-9,24,1196
3,1.0e-7,1.0e-9,22,1264
1,1.0e-7,1.0e-8,25,1677
2,1.0e-7,1.0e-8,24,1151
3,1.0e-7,1.0e-8,22,1119
1,1.0e-7,1.0e-7,25,904
2,1.0e-7,1.0e-7,24,1088
3,1.0e-7,1.0e-7,22,1064
1,1.0e-7,1.0e-6,25,856
2,1.0e-7,1.0e-6,24,988
3,1.0e-7,1.0e-6,22,1037
1,1.0e-7,1.0e-5,25,944
2,1.0e-7,1.0e-5,24,957
3,1.0e-7,1.0e-5,22,965
1,1.0e-7,0.0001,26,836
2,1.0e-7,0.0001,25,892
3,1.0e-7,0.0001,23,963
1,1.0e-7,0.001,25,866
2,1.0e-7,0.001,44,1102
3,1.0e-7,0.001,27,955
1,1.0e-7,0.01,26,548
2,1.0e-7,0.01,57,898
3,1.0e-7,0.01,25,890
1,1.0e-6,0.0,25,5355
2,1.0e-6,0.0,24,5761
3,1.0e-6,0.0,22,4706
1,1.0e-6,1.0e-20,25,5355
2,1.0e-6,1.0e-20,24,5761
3,1.0e-6,1.0e-20,22,4706
1,1.0e-6,1.0e-19,25,5355
2,1.0e-6,1.0e-19,24,5761
3,1.0e-6,1.0e-19,22,4706
1,1.0e-6,1.0e-18,25,5355
2,1.0e-6,1.0e-18,24,5761
3,1.0e-6,1.0e-18,22,4706
1,1.0e-6,1.0e-17,25,5355
2,1.0e-6,1.0e-17,24,5761
3,1.0e-6,1.0e-17,22,4706
1,1.0e-6,1.0e-16,25,5355
2,1.0e-6,1.0e-16,24,5761
3,1.0e-6,1.0e-16,22,4706
1,1.0e-6,1.0e-15,25,5355
2,1.0e-6,1.0e-15,24,5761
3,1.0e-6,1.0e-15,22,4706
1,1.0e-6,1.0e-14,25,2328
2,1.0e-6,1.0e-14,24,2852
3,1.0e-6,1.0e-14,22,1700
1,1.0e-6,1.0e-13,25,1856
2,1.0e-6,1.0e-13,24,1952
3,1.0e-6,1.0e-13,22,1472
1,1.0e-6,1.0e-12,25,1951
2,1.0e-6,1.0e-12,24,1889
3,1.0e-6,1.0e-12,22,1444
1,1.0e-6,1.0e-11,25,1404
2,1.0e-6,1.0e-11,24,1268
3,1.0e-6,1.0e-11,22,1270
1,1.0e-6,1.0e-10,25,1321
2,1.0e-6,1.0e-10,24,1240
3,1.0e-6,1.0e-10,22,1222
1,1.0e-6,1.0e-9,25,1196
2,1.0e-6,1.0e-9,24,1196
3,1.0e-6,1.0e-9,22,1264
1,1.0e-6,1.0e-8,25,1677
2,1.0e-6,1.0e-8,24,1151
3,1.0e-6,1.0e-8,22,1119
1,1.0e-6,1.0e-7,25,904
2,1.0e-6,1.0e-7,24,1088
3,1.0e-6,1.0e-7,22,1064
1,1.0e-6,1.0e-6,25,856
2,1.0e-6,1.0e-6,24,988
3,1.0e-6,1.0e-6,22,1037
1,1.0e-6,1.0e-5,25,944
2,1.0e-6,1.0e-5,23,909
3,1.0e-6,1.0e-5,22,965
1,1.0e-6,0.0001,26,836
2,1.0e-6,0.0001,24,845
3,1.0e-6,0.0001,23,963
1,1.0e-6,0.001,25,866
2,1.0e-6,0.001,90,2429
3,1.0e-6,0.001,26,925
1,1.0e-6,0.01,24,508
2,1.0e-6,0.01,57,898
3,1.0e-6,0.01,25,890
1,1.0e-5,0.0,25,5355
2,1.0e-5,0.0,23,5505
3,1.0e-5,0.0,22,4706
1,1.0e-5,1.0e-20,25,5355
2,1.0e-5,1.0e-20,23,5505
3,1.0e-5,1.0e-20,22,4706
1,1.0e-5,1.0e-19,25,5355
2,1.0e-5,1.0e-19,23,5505
3,1.0e-5,1.0e-19,22,4706
1,1.0e-5,1.0e-18,25,5355
2,1.0e-5,1.0e-18,23,5505
3,1.0e-5,1.0e-18,22,4706
1,1.0e-5,1.0e-17,25,5355
2,1.0e-5,1.0e-17,23,5505
3,1.0e-5,1.0e-17,22,4706
1,1.0e-5,1.0e-16,25,5355
2,1.0e-5,1.0e-16,23,5505
3,1.0e-5,1.0e-16,22,4706
1,1.0e-5,1.0e-15,25,5355
2,1.0e-5,1.0e-15,23,5505
3,1.0e-5,1.0e-15,22,4706
1,1.0e-5,1.0e-14,25,2328
2,1.0e-5,1.0e-14,23,2785
3,1.0e-5,1.0e-14,22,1700
1,1.0e-5,1.0e-13,25,1856
2,1.0e-5,1.0e-13,23,1884
3,1.0e-5,1.0e-13,22,1472
1,1.0e-5,1.0e-12,25,1951
2,1.0e-5,1.0e-12,23,1824
3,1.0e-5,1.0e-12,22,1444
1,1.0e-5,1.0e-11,25,1404
2,1.0e-5,1.0e-11,23,1204
3,1.0e-5,1.0e-11,22,1270
1,1.0e-5,1.0e-10,25,1321
2,1.0e-5,1.0e-10,23,1176
3,1.0e-5,1.0e-10,22,1222
1,1.0e-5,1.0e-9,25,1196
2,1.0e-5,1.0e-9,23,1139
3,1.0e-5,1.0e-9,22,1264
1,1.0e-5,1.0e-8,25,1677
2,1.0e-5,1.0e-8,23,1094
3,1.0e-5,1.0e-8,22,1119
1,1.0e-5,1.0e-7,25,904
2,1.0e-5,1.0e-7,23,1032
3,1.0e-5,1.0e-7,22,1064
1,1.0e-5,1.0e-6,25,856
2,1.0e-5,1.0e-6,23,935
3,1.0e-5,1.0e-6,22,1037
1,1.0e-5,1.0e-5,25,944
2,1.0e-5,1.0e-5,23,909
3,1.0e-5,1.0e-5,20,916
1,1.0e-5,0.0001,25,807
2,1.0e-5,0.0001,24,845
3,1.0e-5,0.0001,21,915
1,1.0e-5,0.001,25,866
2,1.0e-5,0.001,90,2429
3,1.0e-5,0.001,25,912
1,1.0e-5,0.01,24,508
2,1.0e-5,0.01,57,898
3,1.0e-5,0.01,24,876
1,0.0001,0.0,23,4893
2,0.0001,0.0,22,5306
3,0.0001,0.0,21,4461
1,0.0001,1.0e-20,23,4893
2,0.0001,1.0e-20,22,5306
3,0.0001,1.0e-20,21,4461
1,0.0001,1.0e-19,23,4893
2,0.0001,1.0e-19,22,5306
3,0.0001,1.0e-19,21,4461
1,0.0001,1.0e-18,23,4893
2,0.0001,1.0e-18,22,5306
3,0.0001,1.0e-18,21,4461
1,0.0001,1.0e-17,23,4893
2,0.0001,1.0e-17,22,5306
3,0.0001,1.0e-17,21,4461
1,0.0001,1.0e-16,23,4893
2,0.0001,1.0e-16,22,5306
3,0.0001,1.0e-16,21,4461
1,0.0001,1.0e-15,23,4893
2,0.0001,1.0e-15,22,5306
3,0.0001,1.0e-15,21,4461
1,0.0001,1.0e-14,23,2395
2,0.0001,1.0e-14,22,2395
3,0.0001,1.0e-14,21,1650
1,0.0001,1.0e-13,23,1727
2,0.0001,1.0e-13,22,1848
3,0.0001,1.0e-13,21,1416
1,0.0001,1.0e-12,23,1859
2,0.0001,1.0e-12,22,1790
3,0.0001,1.0e-12,21,1392
1,0.0001,1.0e-11,23,1312
2,0.0001,1.0e-11,22,1172
3,0.0001,1.0e-11,21,1219
1,0.0001,1.0e-10,23,1241
2,0.0001,1.0e-10,22,1144
3,0.0001,1.0e-10,21,1174
1,0.0001,1.0e-9,23,1119
2,0.0001,1.0e-9,22,1110
3,0.0001,1.0e-9,21,1220
1,0.0001,1.0e-8,23,1600
2,0.0001,1.0e-8,22,1065
3,0.0001,1.0e-8,21,1079
1,0.0001,1.0e-7,23,834
2,0.0001,1.0e-7,23,1032
3,0.0001,1.0e-7,21,1024
1,0.0001,1.0e-6,23,789
2,0.0001,1.0e-6,23,935
3,0.0001,1.0e-6,21,999
1,0.0001,1.0e-5,23,880
2,0.0001,1.0e-5,23,909
3,0.0001,1.0e-5,20,916
1,0.0001,0.0001,24,779
2,0.0001,0.0001,23,798
3,0.0001,0.0001,21,915
1,0.0001,0.001,23,806
2,0.0001,0.001,90,2429
3,0.0001,0.001,25,912
1,0.0001,0.01,24,508
2,0.0001,0.01,56,883
3,0.0001,0.01,23,847
1,0.001,0.0,23,4893
2,0.001,0.0,21,5080
3,0.001,0.0,20,4251
1,0.001,1.0e-20,23,4893
2,0.001,1.0e-20,21,5080
3,0.001,1.0e-20,20,4251
1,0.001,1.0e-19,23,4893
2,0.001,1.0e-19,21,5080
3,0.001,1.0e-19,20,4251
1,0.001,1.0e-18,23,4893
2,0.001,1.0e-18,21,5080
3,0.001,1.0e-18,20,4251
1,0.001,1.0e-17,23,4893
2,0.001,1.0e-17,21,5080
3,0.001,1.0e-17,20,4251
1,0.001,1.0e-16,23,4893
2,0.001,1.0e-16,21,5080
3,0.001,1.0e-16,20,4251
1,0.001,1.0e-15,23,4893
2,0.001,1.0e-15,21,5080
3,0.001,1.0e-15,20,4251
1,0.001,1.0e-14,23,2395
2,0.001,1.0e-14,21,2314
3,0.001,1.0e-14,20,1788
1,0.001,1.0e-13,23,1727
2,0.001,1.0e-13,21,1778
3,0.001,1.0e-13,20,1557
1,0.001,1.0e-12,23,1859
2,0.001,1.0e-12,21,1725
3,0.001,1.0e-12,20,1360
1,0.001,1.0e-11,23,1312
2,0.001,1.0e-11,21,1108
3,0.001,1.0e-11,20,1190
1,0.001,1.0e-10,23,1241
2,0.001,1.0e-10,21,1080
3,0.001,1.0e-10,20,1139
1,0.001,1.0e-9,23,1119
2,0.001,1.0e-9,21,1053
3,0.001,1.0e-9,20,1104
1,0.001,1.0e-8,23,1600
2,0.001,1.0e-8,21,1008
3,0.001,1.0e-8,20,1041
1,0.001,1.0e-7,23,834
2,0.001,1.0e-7,21,951
3,0.001,1.0e-7,20,1002
1,0.001,1.0e-6,23,789
2,0.001,1.0e-6,21,860
3,0.001,1.0e-6,20,979
1,0.001,1.0e-5,23,880
2,0.001,1.0e-5,21,841
3,0.001,1.0e-5,19,900
1,0.001,0.0001,23,750
2,0.001,0.0001,22,777
3,0.001,0.0001,19,867
1,0.001,0.001,21,746
2,0.001,0.001,63,1743
3,0.001,0.001,24,899
1,0.001,0.01,22,468
2,0.001,0.01,56,883
3,0.001,0.01,23,847
1,0.01,0.0,21,4417
2,0.01,0.0,20,4848
3,0.01,0.0,19,4036
1,0.01,1.0e-20,21,4417
2,0.01,1.0e-20,20,4848
3,0.01,1.0e-20,19,4036
1,0.01,1.0e-19,21,4417
2,0.01,1.0e-19,20,4848
3,0.01,1.0e-19,19,4036
1,0.01,1.0e-18,21,4417
2,0.01,1.0e-18,20,4848
3,0.01,1.0e-18,19,4036
1,0.01,1.0e-17,21,4417
2,0.01,1.0e-17,20,4848
3,0.01,1.0e-17,19,4036
1,0.01,1.0e-16,21,4417
2,0.01,1.0e-16,20,4848
3,0.01,1.0e-16,19,4036
1,0.01,1.0e-15,21,4417
2,0.01,1.0e-15,20,4848
3,0.01,1.0e-15,19,4036
1,0.01,1.0e-14,21,2115
2,0.01,1.0e-14,20,2284
3,0.01,1.0e-14,19,1408
1,0.01,1.0e-13,21,1631
2,0.01,1.0e-13,20,1752
3,0.01,1.0e-13,19,1183
1,0.01,1.0e-12,21,1765
2,0.01,1.0e-12,20,1692
3,0.01,1.0e-12,19,1330
1,0.01,1.0e-11,21,1218
2,0.01,1.0e-11,20,1088
3,0.01,1.0e-11,19,1162
1,0.01,1.0e-10,21,1166
2,0.01,1.0e-10,20,1058
3,0.01,1.0e-10,19,1110
1,0.01,1.0e-9,21,1050
2,0.01,1.0e-9,20,1037
3,0.01,1.0e-9,19,1073
1,0.01,1.0e-8,21,1520
2,0.01,1.0e-8,20,987
3,0.01,1.0e-8,19,1022
1,0.01,1.0e-7,21,765
2,0.01,1.0e-7,20,926
3,0.01,1.0e-7,19,978
1,0.01,1.0e-6,21,722
2,0.01,1.0e-6,20,838
3,0.01,1.0e-6,19,956
1,0.01,1.0e-5,21,817
2,0.01,1.0e-5,20,819
3,0.01,1.0e-5,19,900
1,0.01,0.0001,21,693
2,0.01,0.0001,20,709
3,0.01,0.0001,19,867
1,0.01,0.001,20,717
2,0.01,0.001,24,671
3,0.01,0.001,23,869
1,0.01,0.01,20,418
2,0.01,0.01,55,868
3,0.01,0.01,21,804
