Î¸indices,method_key,num_points,optimisation_calls,likelihood_calls
"[1, 2]",1,10,81,20043
"[1, 3]",1,10,81,20762
"[1, 4]",1,10,85,20878
"[2, 3]",1,10,81,20711
"[2, 4]",1,10,84,21947
"[3, 4]",1,10,86,21597
"[1, 2]",1,20,159,40041
"[1, 3]",1,20,166,42362
"[1, 4]",1,20,169,41690
"[2, 3]",1,20,169,42970
"[2, 4]",1,20,170,43832
"[3, 4]",1,20,168,42520
"[1, 2]",1,30,241,59401
"[1, 3]",1,30,249,62770
"[1, 4]",1,30,251,62098
"[2, 3]",1,30,247,62608
"[2, 4]",1,30,251,64432
"[3, 4]",1,30,256,64059
"[1, 2]",1,40,320,79875
"[1, 3]",1,40,329,83703
"[1, 4]",1,40,341,87374
"[2, 3]",1,40,329,84162
"[2, 4]",1,40,342,87869
"[3, 4]",1,40,339,84259
"[1, 2]",1,50,395,99005
"[1, 3]",1,50,412,104365
"[1, 4]",1,50,422,104726
"[2, 3]",1,50,408,102527
"[2, 4]",1,50,417,108382
"[3, 4]",1,50,428,107598
"[1, 2]",2,10,86,21429
"[1, 3]",2,10,81,20988
"[1, 4]",2,10,86,21557
"[2, 3]",2,10,85,21924
"[2, 4]",2,10,88,22401
"[3, 4]",2,10,86,21815
"[1, 2]",2,20,170,42624
"[1, 3]",2,20,167,42786
"[1, 4]",2,20,171,43068
"[2, 3]",2,20,170,43638
"[2, 4]",2,20,173,44386
"[3, 4]",2,20,168,42093
"[1, 2]",2,30,254,63529
"[1, 3]",2,30,249,63854
"[1, 4]",2,30,250,62653
"[2, 3]",2,30,250,62955
"[2, 4]",2,30,255,65791
"[3, 4]",2,30,249,62516
"[1, 2]",2,40,336,84097
"[1, 3]",2,40,326,83294
"[1, 4]",2,40,334,82982
"[2, 3]",2,40,331,82749
"[2, 4]",2,40,334,85203
"[3, 4]",2,40,330,82161
"[1, 2]",2,50,415,103720
"[1, 3]",2,50,408,103230
"[1, 4]",2,50,407,101005
"[2, 3]",2,50,408,101635
"[2, 4]",2,50,412,104534
"[3, 4]",2,50,406,101080
